Produkt;Geschlecht;Marke;Material;Anwendungsbereich;Druckart;Produktpreis;Versandkosten;EK-Preis;VK-Preis;Größen;Farben;Quelle
Unisex Ringer T-Shirt;Unisex;Fruit of the Loom, B&C, ASColour, Gildan;100% Baumwolle;Alltag;DTG, Stickerei;12,43;3,55;15,98;23,17;S, M, L, XL, 2XL, 3XL;Weiß mit farbigen Akzenten (Rot, Blau, Schwarz etc.);Gelato
Schweres Damen-T-Shirt;Damen;Gildan 5000L;100% Baumwolle;Alltag;DTG, Stickerei;11,06;3,55;14,61;21,18;S, M, L, XL, 2XL;Weiß, Schwarz, Grau, Rosa, Lila, uvm.;Gelato
Performance Damen-T-Shirt;Damen;Just Cool, Gildan, Sport Tek;100% Polyester;Sport;DTG, Stickerei;15,21;3,55;18,76;27,2;S, M, L, XL, 2XL;Weiß, Schwarz, Blau, Pink, Violett;Gelato
Premium Damen-T-Shirt;Damen;Bella + Canvas 6004;100% Airlume-Baumwolle;Alltag;DTG, Stickerei;11,99;3,55;15,54;22,53;S, M, L, XL, 2XL;Große Farbpalette – Weiß, Schwarz, Pastell, uvm.;Gelato
Oversized Damen-T-Shirt Bio;Damen;SOL'S Boxy Women 03807;100% gekämmte Bio-Baumwolle;Alltag, Streetwear;DTG, Stickerei;15,77;3,55;19,32;28,01;XS, S, M, L, XL;Neutral: Weiß, Creme, Grau, Anthrazit;Gelato
Unisex T-Shirt aus Bio-Baumwolle in Umstellung;Unisex;SOL'S Legend 03981;100% gekämmte Bio-Baumwolle (Umstellung);Alltag;DTG, Stickerei;11,23;3,55;14,78;21,43;XS, S, M, L, XL, 2XL, 3XL, 4XL;Zahlreiche natürliche Farbtöne;Gelato
Unisex T-Shirt mit recyceltem Mischgewebe;Unisex;SOL'S RE Crusader 04233;50% recycelte Baumwolle, 50% Polyestermix;Alltag;DTG, Stickerei;10,16;3,55;13,71;19,88;XS, S, M, L, XL, 2XL, 3XL, 4XL;Neutral- und Erdtöne;Gelato
Unisex T-Shirt mit bequemer Passform;Unisex;SOL'S Tuner 04203;100% Baumwolle;Alltag;DTG, Stickerei;10;3,55;13,55;19,65;XS, S, M, L, XL, 2XL, 3XL, 4XL;Basic-Farben wie Weiß, Blau, Grün, Schwarz;Gelato
;;;;;;;;;;;;
Klassischer Unisex Hoodie | Gildan 18500;Unisex;Gildan;50% Baumwolle / 50% Polyester;Alltag, Freizeit;DTG;18,67;5,61;23,68;34,34;S, M, L, XL, 2XL, 3XL;20+ Farben;Gelato 
Premium Unisex Hoodie | Laneseven LS13001;Unisex;Laneseven;80% Baumwolle / 20% Polyester;Alltag, Freizeit, Übergangszeit;DTG;20,78;5,61;25,79;37,4;XS, S, M, L, XL, 2XL;4 Farben;Gelato 
Unisex Pullover Hoodie | Bella + Canvas 3719;Unisex;Bella + Canvas;52% gekämmte & ringgesponnene Baumwolle / 48% Polyester;Premium Freizeitkleidung;DTG;34,49;5,61;39,5;57,27;XS, S, M, L, XL, 2XL;10+ Farben;Gelato 
Premium Unisex Hoodie | JustHoods JH001;Unisex;JustHoods;80% Baumwolle / 20% Polyester;Alltag, College-Stil;DTG;20,64;5,61;25,65;37,19;XS, S, M, L, XL, 2XL, 3XL;20+ Farben;Gelato 
Mittelschwerer Fleece-Hoodie | Gildan SF500;Unisex;Gildan;80% gekämmte Baumwolle / 20% Polyester;Freizeit, Übergangszeit;DTG;21,6;5,61;26,01;37,71;S, M, L, XL, 2XL, 3XL;20+ Farben;Gelato 
Klassischer Unisex Zip-Hoodie;Unisex;Gildan 37200, Gildan 18600;50% Polyester, 50% Baumwolle;Alltag, Freizeit, Teams;DTG, Stickerei;23,57;5,61;28,58;41,44;S, M, L, XL, 2XL, 3XL;Weiß, Grau, Blau, Schwarz;Gelato 
Premium Unisex-Hoodie mit Reißverschluss;Unisex;JustHoods JH050, Lane Seven LS24003;80% Baumwolle, 20% Polyester;Premium Freizeitkleidung;DTG, Stickerei;32,7;5,61;37,71;54,68;S, M, L, XL, 2XL, 3XL;Charcoal Heather;Gelato 
Unisex Hoodie aus recyceltem Mischgewebe;Unisex;SOL'S Condor 03815;50% recyceltes Baumwolle, 50% recyceltes Polyester;Nachhaltige Mode, Freizeit;DTG, Stickerei;28;5,61;33,01;47,86;S, M, L, XL, 2XL, 3XL;Mehrere Farben;Gelato 
Unisex Oversized Kapuzenpullover aus recyceltem Mischgewebe;Unisex;SOL'S Origin 03991;50% Baumwolle, 50% recyceltes Polyester;Urban Style, Nachhaltigkeit;DTG, Stickerei;36,75;5,61;41,76;60,55;S, M, L, XL, 2XL, 3XL;Grau Melange;Gelato 
Unisex Kapuzenpullover aus Bio-Baumwolle in Umstellung;Unisex;SOL'S Constellation 04232;80% Bio-Baumwolle in Umstellung, 15% recyceltes Polyester;Nachhaltigkeit, Freizeit, Teams;DTG, Stickerei;30,6;5,61;35,01;50,76;S, M, L, XL, 2XL, 3XL;Mehrere Farben;Gelato 
Bio-Unisex-Kapuzenpullover | SOL'S Stellar 03568;Unisex;SOL'S Stellar 03568;85% Bio-Baumwolle, 15% recyceltes Polyester;Alltag, Freizeit, nachhaltige Mode;DTG (Textildirektdruck), Stickerei;32,33;5,61;37,94;55,01;XS, S, M, L, XL, 2XL;14 Farben (u.a. Weiß, Beige, Rosa, Khaki, Grau, Schwarz);Gelato 
Unisex Zip-Hoodie aus Bio-Baumwolle in Umstellung | SOL'S Calipso 04237;Unisex;SOL'S Calipso 04237;85% Bio-Baumwolle, 15% recyceltes Polyester;Alltag, Freizeit, nachhaltige Mode;DTG (Textildirektdruck), Stickerei;32,14;5,61;37,75;54,74;XS, S, M, L, XL, 2XL, 3XL;7 Farben (u.a. Weiß, Dunkelblau, Grau, Schwarz);Gelato 
Mittelschwerer Fleece-Hoodie für Erwachsene | Gildan SF500;Unisex;Gildan SF500;80% ringgesponnene Baumwolle, 20% Polyester;Freizeit, Casual, Teams;DTG (Textildirektdruck), Stickerei;21,6;5,61;27,21;39,45;S, M, L, XL, 2XL, 3XL;20+ Farben (u.a. Weiß, Schwarz, Blau, Rot);Gelato 
Klassischer Unisex Hoodie | Gildan 18500 (Damen);Unisex;Gildan 18500;50% Baumwolle, 50% Polyester;Freizeit, Basic, Custom Print;DTG (Textildirektdruck), Stickerei;18,67;5,61;24,28;35,21;S, M, L, XL, 2XL;30+ Farben (u.a. Weiß, Pink, Grau, Blau, Rot);Gelato 
Damen Cropped Hoodie | Bella + Canvas 7502;Damen;Bella + Canvas 7502;52% Airlume Baumwolle, 48% Polyfleece;Fashion, Lifestyle, Print-on-Demand;DTG (Textildirektdruck);36,21;5,61;41,82;60,64;S, M, L, XL, 2XL;7 Farben (u.a. Weiß, Grau, Rosa, Olive);Gelato 
Premium Unisex Hoodie;Unisex;JustHoods JH001;80 % Baumwolle, 20 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);20,64;5,61;26,25;38,06;XS, S, M, L, XL, 2XL;Arctic White, Heather Grey, Jet Black, New French Navy, Oxford Navy;Gelato 
Premium Unisex Hoodie;Unisex;Lane Seven LS13001;65 % Baumwolle, 35 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);26,78;5,61;32,39;46,97;XS, S, M, L, XL, 2XL;Graphite Heather, Black, Navy;Gelato 
Klassischer Unisex Zip-Hoodie;Unisex;Delta 97300, Gildan 18600;50 % Baumwolle, 50 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);23,57;5,61;29,18;42,31;S, M, L, XL, 2XL, 3XL;White, Black, Navy;Gelato 
Premium Damen-Hoodie;Damen;JustHoods JH001F, Independent SS4500;80 % Baumwolle, 20 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);25,43;5,61;31,04;45,01;XS, S, M, L, XL, 2XL;Black;Gelato 
Premium Unisex-Hoodie mit Reißverschluss;Unisex;JustHoods JH050, Lane Seven 14003;80 % Baumwolle, 20 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);32,76;5,61;38,37;55,64;S, M, L, XL, 2XL, 3XL;Charcoal Heather, Navy, Black;Gelato 
Unisex Hoodie aus recyceltem Mischgewebe;Unisex;SOL'S Condor 03815;80% Baumwolle, 20% recyceltes Polyester;Freizeitkleidung;DTG;28;5,61;33,61;48,73;S, M, L, XL, 2XL, 3XL;Vielfarbig;Gelato
Unisex Oversized Kapuzenpullover aus recyceltem Mischgewebe;Unisex;SOL'S Origin 03991;80% Baumwolle, 20% recyceltes Polyester;Freizeitkleidung;DTG;36,75;5,61;42,36;61,42;S, M, L, XL, 2XL, 3XL;Grey Melange;Gelato
Unisex Kapuzenpullover aus Bio-Baumwolle in Umstellung;Unisex;SOL'S Constellation 04232;85% Bio-Baumwolle, 15% recyceltes Polyester;Freizeitkleidung;DTG;30;5,61;35,61;51,63;S, M, L, XL, 2XL, 3XL;Vielfarbig;Gelato
Bio-Unisex-Kapuzenpullover;Unisex;SOL'S Stellar 03568;80% Bio-Baumwolle, 20% recyceltes Polyester;Freizeitkleidung;DTG;32,33;5,61;37,94;55,01;S, M, L, XL, 2XL, 3XL;Vielfarbig;Gelato
Unisex Zip-Hoodie aus Bio-Baumwolle in Umstellung;Unisex;SOL'S Calipso 04237;85% Bio-Baumwolle, 15% recyceltes Polyester;Freizeitkleidung;DTG;32,14;5,61;37,75;54,74;S, M, L, XL, 2XL, 3XL;Vielfarbig;Gelato
Klassischer Unisex Pullover mit Rundhalsausschnitt;Unisex;Gildan 18000;50% Baumwolle, 50% Polyester;Freizeitkleidung;DTG;14,28;5,61;19,29;34,99;S, M, L, XL, 2XL, 3XL;Mehrere;Gelato
Midweight Fleece-Pullover mit Rundhalsausschnitt;Unisex;Gildan SF000;80% ringgesponnene US-Baumwolle, 20% Polyester;Freizeitkleidung;DTG;16,53;5,61;21,54;36,99;S, M, L, XL, 2XL, 3XL, 4XL;Mehrere;Gelato
Premium Unisex Pullover mit Rundhalsausschnitt;Unisex;Lane Seven LS 14004, JustHoods JH030;80% Baumwolle, 20% Polyester;Freizeitkleidung;DTG;22,95;5,61;27,96;42,95;S, M, L, XL, 2XL, 3XL;Heather Gray;Gelato
Unisex-Pullover mit Reißverschluss aus recyceltem Mischgewebe;Unisex;SOL'S Cooper 04240;80% Baumwolle, 20% recycelter Polyester;Freizeitkleidung;DTG;22,88;5,61;27,89;42,99;XS, S, M, L, XL, 2XL, 3XL, 4XL;Mehrere;Gelato
Übergroßes T-Shirt für Herren aus Bio-Baumwolle in Umstellung;Herren;SOL'S Boxy Men 03806;100% gekämmte Baumwolle (in Umstellung);Freizeitkleidung;DTG;16,8;3,55;20,35;36,9;S, M, L, XL, 2XL;Mehrere;Gelato
Unisex Bio-Pullover mit Rundhalsausschnitt | SOL'S Comet 03574;Unisex;SOL'S Comet 03574;80% Bio-Baumwolle, 20% recycelter Polyester;Freizeitkleidung, nachhaltige Mode;DTG;20,09;5,61;25,7;;XS, S, M, L, XL, 2XL, 3XL, 4XL;Weiß, Schwarz, Rot, Dunkelblau, Grau, Navy, Grün, etc.;Gelato
Unisex Pullover mit 1/4-Reißverschluss aus recyceltem Mischgewebe | SOL'S Conrad 04234;Unisex;SOL'S Conrad 04234;80% Baumwolle, 20% recycelter Polyester;Freizeitkleidung, nachhaltige Mode;DTG;22,88;5,61;28,49;;XS, S, M, L, XL, 2XL, 3XL, 4XL;Grey Melange, Schwarz, Rot, Dunkelblau, etc.;Gelato
Midweight Fleece-Pullover mit Rundhalsausschnitt | Gildan SF000;Unisex;Gildan SF000;80% US-Baumwolle, 20% Polyester;Freizeitkleidung;DTG;16,53;5,61;22,14;;S, M, L, XL, 2XL, 3XL, 4XL;Weiß, Schwarz, Blau, Rot, etc.;Gelato
Klassischer Unisex Pullover mit Rundhalsausschnitt | Gildan 18000;Unisex;Gildan 18000;50% Baumwolle, 50% Polyester;Freizeitkleidung, Basic-Pullover;DTG;14,28;5,61;19,89;;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, Blau, Rot, Schwarz, etc.;Gelato
Premium Unisex Pullover mit Rundhalsausschnitt | JustHoods JH030;Unisex;Lane Seven LS14004, JustHoods JH030;80% ringgesponnene Baumwolle, 20% Polyester;Freizeitkleidung, Premium-Stil;DTG;22,95;5,61;28,56;;S, M, L, XL, 2XL, 3XL;Heather Gray, weitere Farben;Gelato
Damen Cropped Pullover;Damen;Bella+Canvas 7503;52 % Airlume Baumwolle, 48 % Polyester;Trendbewusste Damen;DTG (Direktdruck);36,12;5,61;41,73;47,9;S, M, L, XL;Dusty Blue, Mauve, Maroon, Military Green, Black;Gelato
Unisex-Pullover mit Reißverschluss;Unisex;SOL'S Cooper 04240;80 % Baumwolle, 20 % recycelter Polyester;Umweltbewusste Mode;DTG (Direktdruck);22,88;5,61;28,49;34,9;XS, S, M, L, XL, 2XL, 3XL, 4XL;Grey Melange, mehrere;Gelato
Unisex Bio-Pullover mit Rundhalsausschnitt;Unisex;SOL'S Comet 03574;80 % Bio-Baumwolle, 20 % recycelter Polyester;Nachhaltige Mode;DTG (Direktdruck);20,09;5,61;25,7;32,9;XS, S, M, L, XL, 2XL, 3XL, 4XL;Weiß, Schwarz, Navy, Bordeaux, viele weitere;Gelato
Unisex Pullover mit 1/4-Reißverschluss;Unisex;SOL'S Conrad 04234;80 % Baumwolle, 20 % recycelter Polyester;Freizeitmode, nachhaltig;DTG (Direktdruck);22,88;5,61;28,49;34,9;XS, S, M, L, XL, 2XL, 3XL, 4XL;Grey Melange, weitere;Gelato
Midweight Fleece-Pullover Gildan SF000;Unisex;Gildan SF000;80 % Baumwolle, 20 % Polyester;Basic Freizeitkleidung;DTG (Direktdruck);16,53;5,61;22,14;28,9;S, M, L, XL, 2XL, 3XL, 4XL;Weiß, viele weitere;Gelato
Reißverschlussjacke aus Mikrofleece;Herren;SOL'S Factor Men 03823;100 % recycelter Polyester (Polar-Fleece);Wärme und Nachhaltigkeit;Stickerei;46,78;6,12;52,9;64,9;S, M, L, XL, 2XL, 3XL;Rope, weitere;Gelato
Softshell-Reißverschlussjacke;Herren;SOL'S Falcon Men 03827;Recycelter Polyester und Elasthan;Wetterfeste Outdoor-Jacke;Stickerei;46,78;6,12;52,9;64,9;S, M, L, XL, 2XL, 3XL, 4XL;Charcoal Grey, weitere;Gelato
Softshell-Thermoweste;Herren;SOL'S Falcon BW Men 03825;Recycelter Polyester und Elasthan;Outdoor-Aktivitäten, funktional;Stickerei;42,1;6,12;48,22;59,9;S, M, L, XL, 2XL, 3XL, 4XL;Charcoal Grey, weitere;Gelato
Unisex Mikrofleece-Reißverschlussweste;Unisex;SOL'S Factor BW 03822;100 % recycelter Polyester;Umweltbewusste Menschen;Stickerei;42,1;6,12;48,22;59,9;XS, S, M, L, XL, 2XL, 3XL;Rope, weitere;Gelato
Unisex Bio-Jacke;Unisex;SOL'S Neoblu Mael 03780;100 % Bio-Baumwolle;Nachhaltige Workwear;Stickerei;63;6,12;69,12;82,9;XS, S, M, L, XL, 2XL;Deep Khaki, weitere;Gelato
Unisex Mikrofleece-Reißverschlussweste;Unisex;SOL'S Factor BW 03822;100 % recycelter Polyester;Umweltbewusste Menschen;Stickerei;42,1;6,12;48,22;59,9;XS, S, M, L, XL, 2XL, 3XL;Rope, weitere;Gelato
Mikrofleece-Reißverschlussjacke Damen;Damen;SOL'S Factor Women 03824;100 % recycelter Polyester (Polar-Fleece);Wärme und Komfort, nachhaltig;Stickerei;46,78;6,12;52,9;64,9;S, M, L, XL, 2XL, 3XL;Rope, weitere;Gelato
Softshell-Reißverschlussjacke Damen;Damen;SOL'S Falcon Women 03828;Recycelter Polyester und Elasthan;Outdoor-Aktivitäten, funktional;Stickerei;46,78;6,12;52,9;64,9;S, M, L, XL, 2XL, 3XL;Charcoal Grey, weitere;Gelato
Softshell-Thermoweste Damen;Damen;SOL'S Falcon BW Women 03826;Recycelter Polyester;Funktionale Outdoor-Weste;Stickerei;42,1;6,12;48,22;59,9;S, M, L, XL, 2XL, 3XL;Charcoal Grey, weitere;Gelato
Unisex Bio-Jacke;Unisex;SOL'S Neoblu Mael 03780;100 % Bio-Baumwolle;Nachhaltige Workwear;Stickerei;63;6,12;69,12;82,9;XS, S, M, L, XL, 2XL;Deep Khaki, weitere;Gelato
Tailliert geschnittenes Poloshirt Herren;Herren;SOL'S Perfect Men 11346;Hochwertiger, strapazierfähiger Stoff;Komfort und Eleganz im Alltag;Stickerei;14,36;4,08;18,44;24,9;S, M, L, XL, 2XL, 3XL;Weiß, viele weitere;Gelato
Unisex Bio-Poloshirt;Unisex;SOL'S Pegase 04242;Zertifizierte Bio-Baumwolle;Freizeit- und Berufsalltag;Stickerei;17,23;4,08;21,31;27,9;XXS, XS, S, M, L, XL, 2XL, 3XL, 4XL;Weiß, Schwarz, Navy, viele weitere;Gelato
Herren-Poloshirt aus Bio-Baumwolle;Herren;SOL'S Planet Men 03566;100 % Bio-Baumwolle;Nachhaltige Mode;Stickerei;16,51;4,08;20,59;26,9;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, viele weitere;Gelato
Feminin geschnittenes Damen-Poloshirt;Damen;SOL'S Planet Women 03575;100 % Bio-Baumwolle;Stilvoll und nachhaltig;Stickerei;16,51;4,08;20,59;26,9;XS, S, M, L, XL, 2XL, 3XL;Weiß, viele weitere;Gelato
Tailliert geschnittenes Poloshirt Damen;Damen;SOL'S Perfect Women 11347;100 % gekämmte ringgesponnene Baumwolle;Alltag mit perfekter Passform;Stickerei;14,36;4,08;18,44;24,9;S, M, L, XL, 2XL, 3XL;Weiß, viele weitere;Gelato
