Produkt;Geschlecht;Marke;Material;Anwendungsbereich;Druckart;Produktpreis;Versandkosten;EK-Preis;VK-Preis;Größen;Farben;Quelle
Unisex Zip-Hoodie aus Bio-Baumwolle in Umstellung | SOL'S Calipso 04237;Unisex;SOL'S Calipso 04237;85% Bio-Baumwolle, 15% recyceltes Polyester;Alltag, Freizeit, nachhaltige Mode;DTG (Textildirektdruck), Stickerei;32,14;5,61;37,75;54,74;XS, S, M, L, XL, 2XL, 3XL;7 Farben (u.a. Weiß, Dunkelblau, Grau, Schwarz);Gelato 
Mittelschwerer Fleece-Hoodie für Erwachsene | Gildan SF500;Unisex;Gildan SF500;80% ringgesponnene Baumwolle, 20% Polyester;Freizeit, Casual, Teams;DTG (Textildirektdruck), Stickerei;21,6;5,61;27,21;39,45;S, M, L, XL, 2XL, 3XL;20+ Farben (u.a. Weiß, Schwarz, Blau, Rot);Gelato 
Klassischer Unisex Hoodie | Gildan 18500 (Damen);Unisex;Gildan 18500;50% Baumwolle, 50% Polyester;Freizeit, Basic, Custom Print;DTG (Textildirektdruck), Stickerei;18,67;5,61;24,28;35,21;S, M, L, XL, 2XL;30+ Farben (u.a. Weiß, Pink, Grau, Blau, Rot);Gelato 
Damen Cropped Hoodie | Bella + Canvas 7502;Damen;Bella + Canvas 7502;52% Airlume Baumwolle, 48% Polyfleece;Fashion, Lifestyle, Print-on-Demand;DTG (Textildirektdruck);36,21;5,61;41,82;60,64;S, M, L, XL, 2XL;7 Farben (u.a. Weiß, Grau, Rosa, Olive);Gelato 
Premium Unisex Hoodie;Unisex;JustHoods JH001;80 % Baumwolle, 20 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);20,64;5,61;26,25;38,06;XS, S, M, L, XL, 2XL;Arctic White, Heather Grey, Jet Black, New French Navy, Oxford Navy;Gelato 
Premium Unisex Hoodie;Unisex;Lane Seven LS13001;65 % Baumwolle, 35 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);26,78;5,61;32,39;46,97;XS, S, M, L, XL, 2XL;Graphite Heather, Black, Navy;Gelato 
Klassischer Unisex Zip-Hoodie;Unisex;Delta 97300, Gildan 18600;50 % Baumwolle, 50 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);23,57;5,61;29,18;42,31;S, M, L, XL, 2XL, 3XL;White, Black, Navy;Gelato 
Premium Damen-Hoodie;Damen;JustHoods JH001F, Independent SS4500;80 % Baumwolle, 20 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);25,43;5,61;31,04;45,01;XS, S, M, L, XL, 2XL;Black;Gelato 
Premium Unisex-Hoodie mit Reißverschluss;Unisex;JustHoods JH050, Lane Seven 14003;80 % Baumwolle, 20 % Polyester;Freizeitkleidung;DTG (Textil-Direktdruck);32,76;5,61;38,37;55,64;S, M, L, XL, 2XL, 3XL;Charcoal Heather, Navy, Black;Gelato 
Unisex Hoodie aus recyceltem Mischgewebe;Unisex;SOL'S Condor 03815;80% Baumwolle, 20% recyceltes Polyester;Freizeitkleidung;DTG;28;5,61;33,61;48,73;XS-3XL;Vielfarbig;Gelato
Unisex Oversized Kapuzenpullover aus recyceltem Mischgewebe;Unisex;SOL'S Origin 03991;80% Baumwolle, 20% recyceltes Polyester;Freizeitkleidung;DTG;36,75;5,61;42,36;61,42;XS-3XL;Grey Melange;Gelato
Unisex Kapuzenpullover aus Bio-Baumwolle in Umstellung;Unisex;SOL'S Constellation 04232;85% Bio-Baumwolle, 15% recyceltes Polyester;Freizeitkleidung;DTG;30;5,61;35,61;51,63;XS-3XL;Vielfarbig;Gelato
Bio-Unisex-Kapuzenpullover;Unisex;SOL'S Stellar 03568;80% Bio-Baumwolle, 20% recyceltes Polyester;Freizeitkleidung;DTG;32,33;5,61;37,94;55,01;XS-3XL;Vielfarbig;Gelato
Unisex Zip-Hoodie aus Bio-Baumwolle in Umstellung;Unisex;SOL'S Calipso 04237;85% Bio-Baumwolle, 15% recyceltes Polyester;Freizeitkleidung;DTG;32,14;5,61;37,75;54,74;XS-3XL;Vielfarbig;Gelato
Klassischer Unisex Pullover mit Rundhalsausschnitt;Unisex;Gildan 18000;50% Baumwolle, 50% Polyester;Freizeitkleidung;DTG;14,28;5,61;19,29;34,99;S, M, L, XL, 2XL, 3XL;Mehrere;Gelato
Midweight Fleece-Pullover mit Rundhalsausschnitt;Unisex;Gildan SF000;80% ringgesponnene US-Baumwolle, 20% Polyester;Freizeitkleidung;DTG;16,53;5,61;21,54;36,99;S, M, L, XL, 2XL, 3XL, 4XL;Mehrere;Gelato
Premium Unisex Pullover mit Rundhalsausschnitt;Unisex;Lane Seven LS 14004, JustHoods JH030;80% Baumwolle, 20% Polyester;Freizeitkleidung;DTG;22,95;5,61;27,96;42,95;S, M, L, XL, 2XL, 3XL;Heather Gray;Gelato
Unisex-Pullover mit Reißverschluss aus recyceltem Mischgewebe;Unisex;SOL'S Cooper 04240;80% Baumwolle, 20% recycelter Polyester;Freizeitkleidung;DTG;22,88;5,61;27,89;42,99;XS, S, M, L, XL, 2XL, 3XL, 4XL;Mehrere;Gelato
Übergroßes T-Shirt für Herren aus Bio-Baumwolle in Umstellung;Herren;SOL'S Boxy Men 03806;100% gekämmte Baumwolle (in Umstellung);Freizeitkleidung;DTG;16,8;3,55;20,35;36,9;S, M, L, XL, 2XL;Mehrere;Gelato
Unisex Bio-Pullover mit Rundhalsausschnitt | SOL'S Comet 03574;Unisex;SOL'S Comet 03574;80% Bio-Baumwolle, 20% recycelter Polyester;Freizeitkleidung, nachhaltige Mode;DTG;20,09;5,61;25,7;;XS, S, M, L, XL, 2XL, 3XL, 4XL;Weiß, Schwarz, Rot, Dunkelblau, Grau, Navy, Grün, etc.;Gelato
Unisex Pullover mit 1/4-Reißverschluss aus recyceltem Mischgewebe | SOL'S Conrad 04234;Unisex;SOL'S Conrad 04234;80% Baumwolle, 20% recycelter Polyester;Freizeitkleidung, nachhaltige Mode;DTG;22,88;5,61;28,49;;XS, S, M, L, XL, 2XL, 3XL, 4XL;Grey Melange, Schwarz, Rot, Dunkelblau, etc.;Gelato
Midweight Fleece-Pullover mit Rundhalsausschnitt | Gildan SF000;Unisex;Gildan SF000;80% US-Baumwolle, 20% Polyester;Freizeitkleidung;DTG;16,53;5,61;22,14;;S, M, L, XL, 2XL, 3XL, 4XL;Weiß, Schwarz, Blau, Rot, etc.;Gelato
Klassischer Unisex Pullover mit Rundhalsausschnitt | Gildan 18000;Unisex;Gildan 18000;50% Baumwolle, 50% Polyester;Freizeitkleidung, Basic-Pullover;DTG;14,28;5,61;19,89;;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, Blau, Rot, Schwarz, etc.;Gelato
Premium Unisex Pullover mit Rundhalsausschnitt | JustHoods JH030;Unisex;Lane Seven LS14004, JustHoods JH030;80% ringgesponnene Baumwolle, 20% Polyester;Freizeitkleidung, Premium-Stil;DTG;22,95;5,61;28,56;;S, M, L, XL, 2XL, 3XL;Heather Gray, weitere Farben;Gelato
Damen Cropped Pullover;Damen;Bella+Canvas 7503;52 % Airlume Baumwolle, 48 % Polyester;Trendbewusste Damen;DTG (Direktdruck);36,12;5,61;41,73;47,9;S, M, L, XL;Dusty Blue, Mauve, Maroon, Military Green, Black;Gelato
Unisex-Pullover mit Reißverschluss;Unisex;SOL'S Cooper 04240;80 % Baumwolle, 20 % recycelter Polyester;Umweltbewusste Mode;DTG (Direktdruck);22,88;5,61;28,49;34,9;XS, S, M, L, XL, 2XL, 3XL, 4XL;Grey Melange, mehrere;Gelato
Unisex Bio-Pullover mit Rundhalsausschnitt;Unisex;SOL'S Comet 03574;80 % Bio-Baumwolle, 20 % recycelter Polyester;Nachhaltige Mode;DTG (Direktdruck);20,09;5,61;25,7;32,9;XS, S, M, L, XL, 2XL, 3XL, 4XL;Weiß, Schwarz, Navy, Bordeaux, viele weitere;Gelato
Unisex Pullover mit 1/4-Reißverschluss;Unisex;SOL'S Conrad 04234;80 % Baumwolle, 20 % recycelter Polyester;Freizeitmode, nachhaltig;DTG (Direktdruck);22,88;5,61;28,49;34,9;XS, S, M, L, XL, 2XL, 3XL, 4XL;Grey Melange, weitere;Gelato
Midweight Fleece-Pullover Gildan SF000;Unisex;Gildan SF000;80 % Baumwolle, 20 % Polyester;Basic Freizeitkleidung;DTG (Direktdruck);16,53;5,61;22,14;28,9;S, M, L, XL, 2XL, 3XL, 4XL;Weiß, viele weitere;Gelato
